customer_id,name,region,email
1,Kabir Sharma,East,kabir.sharma1@mail.com
2,Samar Gupta,South,samar.gupta2@mail.com
3,Kabir Chopra,North,kabir.chopra3@mail.com
4,Nisha Nair,North,nisha.nair4@mail.com
5,Aarav Verma,South,aarav.verma5@mail.com
6,Samar Chopra,North,samar.chopra6@mail.com
7,Shreya Gupta,West,shreya.gupta7@mail.com
8,Samar Singh,East,samar.singh8@mail.com
9,Aarav Patel,West,aarav.patel9@mail.com
10,Priya Mehta,South,priya.mehta10@mail.com
11,Rohan Reddy,North,rohan.reddy11@mail.com
12,Aditya Nair,North,aditya.nair12@mail.com
13,Ananya Reddy,East,ananya.reddy13@mail.com
14,Vivaan Singh,North,vivaan.singh14@mail.com
15,Diya Verma,East,diya.verma15@mail.com
16,Ira Reddy,South,ira.reddy16@mail.com
17,Aditya Sharma,South,aditya.sharma17@mail.com
18,Ankit Verma,South,ankit.verma18@mail.com
19,Kabir Nair,East,kabir.nair19@mail.com
20,Kavya Reddy,South,kavya.reddy20@mail.com
21,Ananya Reddy,South,ananya.reddy21@mail.com
22,Rahul Verma,South,rahul.verma22@mail.com
23,Shreya Gupta,South,shreya.gupta23@mail.com
24,Kavya Nair,East,kavya.nair24@mail.com
25,Shreya Gupta,East,shreya.gupta25@mail.com
26,Vivaan Gupta,North,vivaan.gupta26@mail.com
27,Priya Nair,East,priya.nair27@mail.com
28,Aditya Gupta,East,aditya.gupta28@mail.com
29,Rohan Singh,West,rohan.singh29@mail.com
30,Kavya Patel,East,kavya.patel30@mail.com
31,Arjun Gupta,East,arjun.gupta31@mail.com
32,Nisha Nair,West,nisha.nair32@mail.com
33,Ananya Gupta,South,ananya.gupta33@mail.com
34,Sneha Singh,North,sneha.singh34@mail.com
35,Vivaan Verma,South,vivaan.verma35@mail.com
36,Ishaan Nair,North,ishaan.nair36@mail.com
37,Diya Nair,West,diya.nair37@mail.com
38,Sneha Mehta,North,sneha.mehta38@mail.com
39,Kabir Chopra,East,kabir.chopra39@mail.com
40,Priya Verma,East,priya.verma40@mail.com
41,Riya Patel,West,riya.patel41@mail.com
42,Aarav Mehta,South,aarav.mehta42@mail.com
43,Sneha Verma,East,sneha.verma43@mail.com
44,Sneha Bose,South,sneha.bose44@mail.com
45,Arjun Reddy,South,arjun.reddy45@mail.com
46,Shreya Chopra,North,shreya.chopra46@mail.com
47,Ira Reddy,West,ira.reddy47@mail.com
48,Aarav Verma,East,aarav.verma48@mail.com
49,Ankit Gupta,North,ankit.gupta49@mail.com
50,Samar Bose,North,samar.bose50@mail.com
